C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [1/1000], Loss: 609.7081, Used: 5.4391s
Epoch [2/1000], Loss: 291.0876, Used: 4.9533s
Epoch [3/1000], Loss: 197.3510, Used: 4.9494s
Epoch [4/1000], Loss: 132.8823, Used: 4.9472s
Epoch [5/1000], Loss: 143.2568, Used: 4.9584s
Epoch [6/1000], Loss: 107.3307, Used: 4.9660s
Epoch [7/1000], Loss: 98.5684, Used: 4.9608s
Epoch [8/1000], Loss: 101.2581, Used: 4.9677s
Epoch [9/1000], Loss: 77.0270, Used: 4.9523s
Epoch [10/1000], Loss: 65.8003, Used: 4.9444s
Epoch [11/1000], Loss: 76.2533, Used: 4.9367s
Epoch [12/1000], Loss: 72.9400, Used: 4.9783s
Epoch [13/1000], Loss: 59.6443, Used: 4.9999s
Epoch [14/1000], Loss: 72.6799, Used: 4.9720s
Epoch [15/1000], Loss: 74.7970, Used: 5.0588s
Epoch [16/1000], Loss: 77.5713, Used: 5.0636s
Epoch [17/1000], Loss: 63.3387, Used: 5.0000s
Epoch [18/1000], Loss: 62.9564, Used: 5.0419s
Epoch [19/1000], Loss: 58.3878, Used: 4.9572s
Epoch [20/1000], Loss: 57.5052, Used: 5.0787s
Epoch [21/1000], Loss: 58.2384, Used: 4.9357s
Epoch [22/1000], Loss: 44.5379, Used: 4.9368s
Epoch [23/1000], Loss: 46.0068, Used: 5.0307s
Epoch [24/1000], Loss: 57.6046, Used: 4.9251s
Epoch [25/1000], Loss: 54.4975, Used: 4.9503s
Epoch [26/1000], Loss: 43.6716, Used: 4.9813s
Epoch [27/1000], Loss: 41.1546, Used: 5.0130s
Epoch [28/1000], Loss: 50.2434, Used: 5.5258s
Epoch [29/1000], Loss: 41.7334, Used: 5.4880s
Epoch [30/1000], Loss: 42.6227, Used: 5.7242s
Epoch [31/1000], Loss: 38.8542, Used: 5.5750s
Epoch [32/1000], Loss: 39.6622, Used: 6.0829s
Epoch [33/1000], Loss: 39.7440, Used: 5.8401s
Epoch [34/1000], Loss: 36.3004, Used: 6.2313s
Epoch [35/1000], Loss: 35.7818, Used: 6.8701s
Epoch [36/1000], Loss: 48.6054, Used: 6.1593s
Epoch [37/1000], Loss: 36.6455, Used: 6.7638s
Epoch [38/1000], Loss: 39.9866, Used: 5.7445s
Epoch [39/1000], Loss: 38.3187, Used: 6.1187s
Epoch [40/1000], Loss: 45.4496, Used: 6.0687s
Epoch [41/1000], Loss: 34.3586, Used: 5.2124s
Epoch [42/1000], Loss: 42.5675, Used: 5.0388s
Epoch [43/1000], Loss: 37.5107, Used: 4.9361s
Epoch [44/1000], Loss: 37.6945, Used: 5.5874s
Epoch [45/1000], Loss: 31.1681, Used: 6.7073s
Epoch [46/1000], Loss: 32.4900, Used: 5.2687s
Epoch [47/1000], Loss: 33.4920, Used: 5.3238s
Epoch [48/1000], Loss: 32.6859, Used: 5.1979s
Epoch [49/1000], Loss: 32.7680, Used: 5.0679s
Epoch [50/1000], Loss: 34.2378, Used: 5.0501s
Epoch [51/1000], Loss: 32.9599, Used: 5.0552s
Epoch [52/1000], Loss: 43.7049, Used: 5.0537s
Epoch [53/1000], Loss: 32.2513, Used: 5.0517s
Epoch [54/1000], Loss: 31.0321, Used: 5.0501s
Epoch [55/1000], Loss: 31.2748, Used: 5.0547s
Epoch [56/1000], Loss: 34.1297, Used: 5.0557s
Epoch [57/1000], Loss: 30.6834, Used: 5.0496s
Epoch [58/1000], Loss: 28.4689, Used: 5.0484s
Epoch [59/1000], Loss: 28.6960, Used: 5.0577s
Epoch [60/1000], Loss: 30.6324, Used: 5.3547s
Epoch [61/1000], Loss: 28.6741, Used: 5.1489s
Epoch [62/1000], Loss: 28.0217, Used: 5.1782s
Epoch [63/1000], Loss: 32.0618, Used: 5.0738s
Epoch [64/1000], Loss: 35.0284, Used: 5.0525s
Epoch [65/1000], Loss: 29.1811, Used: 5.0561s
Epoch [66/1000], Loss: 29.5208, Used: 5.1148s
Epoch [67/1000], Loss: 28.8984, Used: 5.1850s
Epoch [68/1000], Loss: 29.0865, Used: 5.1627s
Epoch [69/1000], Loss: 29.5732, Used: 5.3087s
Epoch [70/1000], Loss: 25.7148, Used: 5.9320s
Epoch [71/1000], Loss: 25.1914, Used: 5.4551s
Epoch [72/1000], Loss: 28.2808, Used: 5.1642s
Epoch [73/1000], Loss: 26.0547, Used: 5.1291s
Epoch [74/1000], Loss: 25.5301, Used: 4.9551s
Epoch [75/1000], Loss: 26.6691, Used: 4.9296s
Epoch [76/1000], Loss: 30.1759, Used: 4.9412s
